"id","name","zipcode","latitude","longitude","state_id/id"
"fr_city_08514","ST AQUILIN","24110","45.1911088395","0.488721317785","cap_contact.fr_departement_24"
"fr_city_08515","ST ASTIER","24110","45.1484357281","0.519678090961","cap_contact.fr_departement_24"
"fr_city_08516","ST AUBIN DE CADELECH","24500","44.6857557345","0.492017178221","cap_contact.fr_departement_24"
"fr_city_08517","ST AUBIN DE LANQUAIS","24560","44.7969706456","0.602118050756","cap_contact.fr_departement_24"
"fr_city_08518","ST AUBIN DE NABIRAT","24250","44.731908542","1.28437608808","cap_contact.fr_departement_24"
"fr_city_08519","ST AULAYE PUYMANGOU","24410","45.1823303924","0.136303399419","cap_contact.fr_departement_24"
"fr_city_08520","ST AVIT DE VIALARD","24260","44.9453704965","0.862154837196","cap_contact.fr_departement_24"
"fr_city_08521","ST AVIT RIVIERE","24540","44.7401593829","0.906593699917","cap_contact.fr_departement_24"
"fr_city_08522","ST AVIT SENIEUR","24440","44.7750925645","0.824289637501","cap_contact.fr_departement_24"
"fr_city_08523","ST BARTHELEMY DE BELLEGARDE","24700","45.0801047856","0.193152734323","cap_contact.fr_departement_24"
"fr_city_08524","ST BARTHELEMY DE BUSSIERE","24360","45.6415499133","0.747042269307","cap_contact.fr_departement_24"
"fr_city_08525","ST CAPRAISE DE LALINDE","24150","44.8463175043","0.655294285249","cap_contact.fr_departement_24"
"fr_city_08526","ST CAPRAISE D EYMET","24500","44.711179433","0.51051059596","cap_contact.fr_departement_24"
"fr_city_08527","ST CASSIEN","24540","44.6794684315","0.845364100419","cap_contact.fr_departement_24"
"fr_city_08528","ST CERNIN DE LABARDE","24560","44.7634460851","0.584640392889","cap_contact.fr_departement_24"
"fr_city_08529","ST CERNIN DE L HERM","24550","44.6540649921","1.04585610677","cap_contact.fr_departement_24"
"fr_city_08530","ST CHAMASSY","24260","44.8725532878","0.921257476514","cap_contact.fr_departement_24"
"fr_city_08531","ST CIRQ","24260","44.9360696288","0.967920705814","cap_contact.fr_departement_24"
"fr_city_08532","ST CREPIN D AUBEROCHE","24330","45.1177639491","0.895951381831","cap_contact.fr_departement_24"
"fr_city_08533","ST CREPIN DE RICHEMONT","24310","45.4226145327","0.608773293473","cap_contact.fr_departement_24"
"fr_city_08534","ST CREPIN ET CARLUCET","24590","44.9565947973","1.27615948362","cap_contact.fr_departement_24"
"fr_city_08535","STE CROIX","24440","44.7327105467","0.828547816645","cap_contact.fr_departement_24"
"fr_city_08536","STE CROIX DE MAREUIL","24340","45.4655946689","0.422846944104","cap_contact.fr_departement_24"
"fr_city_08537","ST CYBRANET","24250","44.7804732346","1.1587393695","cap_contact.fr_departement_24"
"fr_city_08538","ST CYPRIEN","24220","44.8825740011","1.02538984639","cap_contact.fr_departement_24"
"fr_city_08539","ST CYR LES CHAMPAGNES","24270","45.3724597502","1.29106108817","cap_contact.fr_departement_24"
"fr_city_08540","ST ESTEPHE","24360","45.609832852","0.657993310994","cap_contact.fr_departement_24"
"fr_city_08541","ST ETIENNE DE PUYCORBIER","24400","45.0929275989","0.323452712792","cap_contact.fr_departement_24"
"fr_city_08542","STE EULALIE D ANS","24640","45.2493030255","1.02147550691","cap_contact.fr_departement_24"
"fr_city_08543","STE EULALIE D EYMET","24500","44.7093311565","0.35938458115","cap_contact.fr_departement_24"
"fr_city_08544","ST FELIX DE BOURDEILLES","24340","45.4073734663","0.565567317606","cap_contact.fr_departement_24"
"fr_city_08545","ST FELIX DE REILLAC ET MORTEMART","24260","45.0147855996","0.89152600187","cap_contact.fr_departement_24"
"fr_city_08546","ST FELIX DE VILLADEIX","24510","44.9319312699","0.677290095994","cap_contact.fr_departement_24"
"fr_city_08547","STE FOY DE BELVES","24170","44.731269814","1.03294229921","cap_contact.fr_departement_24"
"fr_city_08548","STE FOY DE LONGAS","24510","44.9286563489","0.755646260789","cap_contact.fr_departement_24"
"fr_city_08549","ST FRONT D ALEMPS","24460","45.324593189","0.78971362781","cap_contact.fr_departement_24"
"fr_city_08550","ST FRONT DE PRADOUX","24400","45.0595554075","0.360152317983","cap_contact.fr_departement_24"
"fr_city_08551","ST FRONT LA RIVIERE","24300","45.4652036046","0.719685871549","cap_contact.fr_departement_24"
"fr_city_08552","ST FRONT SUR NIZONNE","24300","45.477464175","0.627327027878","cap_contact.fr_departement_24"
"fr_city_08553","ST GENIES","24590","44.9950404568","1.24436332323","cap_contact.fr_departement_24"
"fr_city_08554","ST GEORGES BLANCANEIX","24130","44.9178103997","0.356218213042","cap_contact.fr_departement_24"
"fr_city_08555","ST GEORGES DE MONTCLARD","24140","44.9331773121","0.610874864188","cap_contact.fr_departement_24"
"fr_city_08556","ST GERAUD DE CORPS","24700","44.9478425672","0.239383729477","cap_contact.fr_departement_24"
"fr_city_08557","ST GERMAIN DE BELVES","24170","44.806098303","1.03606561398","cap_contact.fr_departement_24"
"fr_city_08558","ST GERMAIN DES PRES","24160","45.3458327209","1.00011342587","cap_contact.fr_departement_24"
"fr_city_08559","ST GERMAIN DU SALEMBRE","24190","45.127972537","0.437779642589","cap_contact.fr_departement_24"
"fr_city_08560","ST GERMAIN ET MONS","24520","44.8286582128","0.591211611663","cap_contact.fr_departement_24"
"fr_city_08561","ST GERY","24400","44.9760796886","0.326025224409","cap_contact.fr_departement_24"
"fr_city_08562","ST GEYRAC","24330","45.0745744027","0.907034401577","cap_contact.fr_departement_24"
"fr_city_08563","ST HILAIRE D ESTISSAC","24140","45.014476321","0.505394906557","cap_contact.fr_departement_24"
"fr_city_08564","STE INNOCENCE","24500","44.7249335654","0.394228419824","cap_contact.fr_departement_24"
"fr_city_08565","ST JEAN D ATAUX","24190","45.1344343643","0.394306386157","cap_contact.fr_departement_24"
